51.749690,-0.242484
51.748991,-0.242460
51.748619,-0.242892
51.749586,-0.243156
51.750374,-0.243637
51.751118,-0.244022
51.751728,-0.244286
51.751951,-0.245632
51.752308,-0.246400
51.753052,-0.247169
51.753632,-0.246689
51.754217,-0.246304
51.754643,-0.245883
51.755260,-0.245750
51.756070,-0.245418
51.756550,-0.245218
51.757181,-0.244842
51.757922,-0.244509
51.758800,-0.244044
51.759458,-0.243667
51.760117,-0.243335
51.760775,-0.243312
51.761049,-0.242891
51.761612,-0.241983
51.761996,-0.241118
51.762270,-0.240298
